USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,area,summary,m_price,minimum_ni,m_monrevie,m_hostlist,m_avaliabl,geometry,density,Unnamed: 0,london_imd_rank,london_imd_decile,imd,income,employment,edu_ski_tra,health_depri,crime,hous_serv,living_env
1346,1250,96,227.7,817,1.5,57302.96653,7,139.4285714,15.42857143,0.305714286,13.42857143,0.035225049,"POLYGON ((-0.0967857376580263 51.523249489384554, -0.0964705326798264 51.52282121236341, -0.095096872816787 51.523052933277135, -0.0945594278338905 51.52204704725517, -0.0943385141753175 51.52146086707623, -0.0927631612120422 51.52138731360704, -0.0940399908046195 51.521032638395006, -0.0939216530810962 51.52077392414579, -0.0943929327114432 51.52066935472878, -0.0947705225044868 51.52059433988028, -0.0952689933343102 51.52050197987941, -0.0965156010376073 51.520274364414746, -0.0972886738337237 51.521577041269126, -0.0974920489188685 51.52217164495203, -0.0977198613304264 51.52291813289753, -0.0967857376580263 51.523249489384554))",0.000122158,2,2562,6,19.402,0.086,0.086,5.804,-0.102,-1.032,40.103,40.535
1703,1699,4,116.2,543,3.1,144195.8469,5,44.2,3,0.465,1.2,0.451506849,"POLYGON ((0.0911520748782917 51.5390853012254, 0.093257494883414 51.537869849989335, 0.0936001399511959 51.53767043548137, 0.0925823389527054 51.53759072899519, 0.0920743369256559 51.537550941854846, 0.0896214537146398 51.53739232735385, 0.0865237713459831 51.537584717374486, 0.0849715761987852 51.53789626358554, 0.0851193900054318 51.53815446179294, 0.0853140983023576 51.53836150273797, 0.0849177715515263 51.538520291410116, 0.0857737289627508 51.53917884693971, 0.0861902691022688 51.5390142283262, 0.0867825037895313 51.53944469831984, 0.0850702664289748 51.54035732573276, 0.086498895015584 51.541251889711134, 0.0861213070404651 51.54153895417101, 0.0864553479272753 51.541776293822686, 0.0885253785894309 51.540581927747574, 0.0896160411398666 51.53996068195296, 0.0911520748782917 51.5390853012254))",3.47E-05,4,2485,6,19.837,0.117,0.059,14.798,-0.359,-0.147,45.171,26.888
2840,2840,0,80.7,1103,2.6,348848.3422,31,73.38709677,11.22580645,0.844285714,1.612903226,0.35987627,"POLYGON ((0.0775105072039897 51.539741985639644, 0.0780256370251629 51.53933718074767, 0.0786871483231503 51.53961322763785, 0.0805802689110674 51.538752332531445, 0.0813328231812832 51.53930552466563, 0.0815582089985922 51.539127075132804, 0.082917272155946 51.53829560853089, 0.0854939470851313 51.53703443785281, 0.0845298718628154 51.53655985999021, 0.0836240407251672 51.536144572041515, 0.0825109534278417 51.53569630255663, 0.082381901614375 51.53563951133084, 0.081449253599754 51.53543836848304, 0.0812124509819025 51.535467003602676, 0.0794607948677931 51.534754136398405, 0.0792426294856443 51.53467246488435, 0.0787005958734476 51.53446928558142, 0.0761598116598835 51.533610649468436, 0.0750109720087898 51.53399775638029, 0.0749043243734078 51.53416315794976, 0.0735048813838334 51.53756355294132, 0.0713444283913462 51.53724979267419, 0.072544240897239 51.537716545246326, 0.0720152488849893 51.53840352888172, 0.0719086583919659 51.53896243033013, 0.0729687848849373 51.53912580320203, 0.0730424180443479 51.53878852450986, 0.0736138213866803 51.538870150681284, 0.0747317472338647 51.53939840015869, 0.0752189862872494 51.53950123721817, 0.075502180459967 51.53840270136798, 0.0765140597187319 51.53863774063354, 0.0777070722248356 51.53915805001301, 0.0769590735667539 51.53953178837249, 0.0775105072039897 51.539741985639644))",8.89E-05,8,868,2,32.437,0.169,0.073,11.762,-0.002,1.214,50.58,47.932
1602,1602,0,62.4,690,2.3,253013.7849,2,47.5,1,0.885,1,0.284931507,"POLYGON ((0.1312897017483174 51.584332209529734, 0.1320383509241206 51.58288431101374, 0.1334375060050456 51.582892792153906, 0.1334254431438497 51.58255732106652, 0.133961561519691 51.582446853556846, 0.1339354334741488 51.58218218641114, 0.1339797958847277 51.58218137963016, 0.1342763125492687 51.581416054067546, 0.135534088461713 51.58137783701495, 0.1355003995876509 51.580728282861905, 0.1360531380293013 51.5806462169754, 0.1368244969844884 51.580631057325185, 0.1399617035123143 51.58052680707954, 0.1401832947797385 51.580294628161816, 0.1411186440013495 51.58053800354496, 0.140971885479412 51.57990310341239, 0.1395154512636856 51.579590848591025, 0.1396846241769782 51.57894923256641, 0.1402532327254558 51.57897115535446, 0.140178833832429 51.578324331833834, 0.1378716301475466 51.578122571259414, 0.1361211571953804 51.57796077496167, 0.1356994961265436 51.579784997011046, 0.1352011420910924 51.579741504006904, 0.1351366551366985 51.57856626282248, 0.1353282660376972 51.578188380418744, 0.1339090673362332 51.57813809330974, 0.1316113335510428 51.577133002471946, 0.1312703909678256 51.57789716819992, 0.1307073546022721 51.57907329521747, 0.1312351999419963 51.57947711478869, 0.133435444702145 51.579944816379744, 0.132917536686307 51.58090959500526, 0.1325641189892489 51.58131401993292, 0.1319441737878812 51.58135041116044, 0.1276391489341148 51.5816373799775, 0.1276502391875491 51.581708239555574, 0.1298372496203652 51.58295230500284, 0.1306216729655057 51.58401559327134, 0.1300966975467709 51.58445466273926, 0.1312897017483174 51.584332209529734))",7.90E-06,26,2123,5,22.503,0.113,0.075,17.349,-0.28,0.35,47.51,21.974
1617,1617,0,19.2,598,2.7,843553.2692,5,81.2,1.4,0.6175,1.2,0.344109589,"POLYGON ((0.1506261421085069 51.583061135248066, 0.1483817414185302 51.58075134111865, 0.1474482045093277 51.58079133450223, 0.1469833735815558 51.57567788863713, 0.1462108935403215 51.57563005188986, 0.1439976323743006 51.57550026401659, 0.1435453020851325 51.57564886072757, 0.1419671726977462 51.57531192679215, 0.141808854842982 51.574764989752495, 0.1413942159173323 51.574732935779515, 0.1415072414074678 51.57425846458882, 0.1411405903571902 51.57419195486133, 0.14180214826488 51.57263774551673, 0.1419754938758802 51.5722472082174, 0.1395179290037012 51.5720568238821, 0.1392014967644244 51.57286732986047, 0.1382779632889602 51.57311255373374, 0.138227014841464 51.57374249051374, 0.1389622454315482 51.57412561669275, 0.1361700328900686 51.573814229988265, 0.1356379065091391 51.57431729591294, 0.1367230830317614 51.57469480332424, 0.1372743219778537 51.575336352376524, 0.1370190845658653 51.57625524185065, 0.1375778815979359 51.5765409430208, 0.1374735506977327 51.57700883072405, 0.1372391458946778 51.5772438009828, 0.137871630154876 51.578122571262135, 0.1401788338337304 51.57832433183558, 0.1402532327297249 51.578971155352924, 0.1396846241738079 51.57894923256648, 0.1395154512675796 51.579590848595124, 0.1409718854788894 51.57990310341044, 0.1411186440022092 51.580538003547815, 0.1413081777858338 51.58149931557334, 0.14142120714369 51.58267530475928, 0.1417752137495888 51.58531092575131, 0.1415708691992186 51.5863567900867, 0.1510833460684581 51.5870785397079, 0.1510245019118126 51.58589212316134, 0.1506261421085069 51.583061135248066))",5.93E-06,28,2105,5,22.672,0.126,0.075,12.953,0.046,0.919,34.14,27.703
1629,1629,0,43.4,631,2.6,379266.2537,2,36,3,2.17,1,0.445205479,"POLYGON ((0.1356994961230848 51.57978499701143, 0.1361211571955311 51.577960774960076, 0.1378716301534148 51.5781225712588, 0.1372391458892274 51.577243800983304, 0.1374735506932859 51.57700883072624, 0.1375778816023486 51.57654094301661, 0.1370190845721097 51.5762552418473, 0.1372743219812818 51.57533635238205, 0.1367230830278814 51.57469480332702, 0.1356379065055762 51.57431729591015, 0.1361700328846444 51.5738142299891, 0.1389622454338584 51.57412561669695, 0.1382270148327645 51.573742490513766, 0.1382779632934578 51.57311255373505, 0.1392014967705793 51.57286732985935, 0.1395179289982586 51.5720568238833, 0.1390659619412818 51.572039381318305, 0.1387087383318752 51.57202567765323, 0.1365214087732161 51.57183652744723, 0.1357276986839616 51.571722039556136, 0.1354965262286562 51.57168969171699, 0.1300252627705846 51.570756272944095, 0.1298499139367142 51.571597185865336, 0.1307878927541047 51.57172781643756, 0.1315594036264195 51.571835088140766, 0.130908388935703 51.57343989119386, 0.1299406278167925 51.573056071329354, 0.1294185759441398 51.57398097389813, 0.1293750911250559 51.57491988747079, 0.1293771105678589 51.57541604411402, 0.1292342022177479 51.57629358760927, 0.1300337510431052 51.57653283324807, 0.1316113335543569 51.577133002473836, 0.1339090673384329 51.57813809330588, 0.1353282660410089 51.57818838041982, 0.1351366551306787 51.57856626282411, 0.1352011420932884 51.579741504006144, 0.1356994961230848 51.57978499701143))",5.27E-06,29,1165,3,29.958,0.146,0.106,23.035,0.095,0.913,39.922,38.369
1353,1353,0,32.3,469,2.9,429815.6919,6,61.66666667,1.666666667,1.6525,1.166666667,0.484931507,"POLYGON ((0.1579166748134938 51.54884487419918, 0.1607895905977745 51.54720351377845, 0.1631487676624725 51.54733676035571, 0.1635729873792472 51.54699107582405, 0.1643231686848853 51.54693750659066, 0.1641237789696497 51.546298619875664, 0.1648871908030934 51.54609652888472, 0.1652021969065181 51.54529775297354, 0.1656685737750035 51.545385564779686, 0.1654473070773699 51.54566821197486, 0.1657828310133744 51.545785219560194, 0.1666916614975728 51.54556570142732, 0.1662349341275299 51.546145056428976, 0.1680181543661382 51.54731269292662, 0.1689052261279221 51.54780066738695, 0.179204847924638 51.54816365848598, 0.1792131947571944 51.54635781816119, 0.1785486229751687 51.546243767869576, 0.1738278581885513 51.54543022718229, 0.1726167217376479 51.54522299711437, 0.1671957939436379 51.54429850512928, 0.1661884250266163 51.544130528855945, 0.1615120597354166 51.5433107199016, 0.161499420253117 51.54388086508588, 0.1603724382792466 51.5444847580912, 0.1597062568181455 51.54531271164458, 0.1587653021333434 51.546409585902545, 0.15852607315989 51.54777330874643, 0.1572898792570616 51.54774841437277, 0.1572261710162087 51.548307285251504, 0.1566991777696353 51.548347056374226, 0.1564544152313231 51.548713526438604, 0.1579166748134938 51.54884487419918))",1.40E-05,33,2584,6,19.27,0.112,0.073,15.969,-0.185,0.386,31.724,27.612
1603,1595,8,10.5,659,2.4,1525446.594,1,40,2,0.03,1,0.490410959,"POLYGON ((0.1847196850741275 51.55938852689155, 0.1844020574278194 51.55767262520447, 0.1850184253579686 51.55681877700172, 0.1847416667179749 51.55642472967631, 0.1856778045580772 51.556379854693375, 0.1873678885872713 51.5553479343133, 0.1878831365692521 51.55407904652054, 0.1901799459580969 51.552680512678016, 0.1895745137484471 51.551490610501105, 0.1874816492928273 51.55020258764661, 0.1859951621563876 51.547534838919226, 0.1792131947596264 51.54635781816254, 0.1792048479305096 51.54816365848062, 0.1689052261256331 51.54780066738913, 0.1680181543665309 51.54731269292667, 0.1667859262387718 51.54851853184054, 0.1655687279493132 51.54981743433053, 0.1648860380618131 51.54952747131195, 0.1654891119554335 51.55059172151655, 0.1697093020864029 51.55062136729131, 0.1679641910065958 51.55192805200595, 0.1678684430388637 51.553039393713924, 0.1697139945157223 51.55312246825601, 0.1697256965890959 51.55468686173824, 0.1696637351217961 51.556519992226384, 0.1721667914153792 51.55662290839471, 0.1726971688417726 51.55515260463974, 0.173796153871687 51.55412438160244, 0.1775026535747015 51.55508845991691, 0.1770806668257912 51.556427242098046, 0.1761787261451788 51.556670065903305, 0.1757514682304508 51.558460174159066, 0.1773538820622566 51.55803664771388, 0.1801811873147645 51.55847321455154, 0.1800041644996521 51.55893376344875, 0.1794990318089069 51.55892872448727, 0.1780167058112868 51.558793528639264, 0.1772883148293415 51.55936232138208, 0.1795106880179037 51.56058574509237, 0.1793181379996556 51.560887515791315, 0.181694817522086 51.561171976050595, 0.1827053347379876 51.561265787887535, 0.1845477400504265 51.56020006917245, 0.1847196850741275 51.55938852689155))",6.56E-07,36,2151,5,22.288,0.127,0.074,19.753,0.173,0.092,42.779,17.527
1798,1793,5,105.4,629,2.9,174485.8103,3,73,3.333333333,0.62,2.333333333,0.612785388,"POLYGON ((0.0865237713430899 51.537584717374216, 0.0896214537140169 51.53739232735231, 0.0920743369219756 51.537550941854114, 0.0925823389506194 51.537590728997955, 0.0936001399541479 51.53767043548148, 0.0936946981364752 51.53767776746668, 0.09374064569062 51.537681326804154, 0.0927635647143952 51.53667303120368, 0.0931165028441256 51.536559189342356, 0.0929488700979141 51.53585163557997, 0.0933635847881029 51.53584767927439, 0.0935417769663591 51.53516474512889, 0.0943921463451344 51.534999807928344, 0.0948822129179282 51.53410849756097, 0.0948179645043943 51.533483937359584, 0.0941305040566313 51.533227041523745, 0.0923321855980896 51.53386394240904, 0.0900791095778949 51.53474575272141, 0.0891973685701775 51.53505334786149, 0.0854939470843792 51.537034437851666, 0.0829172721560898 51.5382956085333, 0.0815582089972044 51.539127075131354, 0.0849715762002048 51.53789626358469, 0.0865237713430899 51.537584717374216))",1.72E-05,41,1362,3,28.389,0.133,0.079,22.263,-0.41,1.077,42.638,44.13
1928,1928,0,78.7,683,2.8,245841.1996,5,34,5.6,1.09,1.4,0.116164384,"POLYGON ((0.1072061338891518 51.54447095555022, 0.1060045861441453 51.542981694585116, 0.1052318549678683 51.54316124798441, 0.1035159187363982 51.543641966047204, 0.1029649581105804 51.54313011149349, 0.1013471647929054 51.54326511900381, 0.1031975651147212 51.54517816161624, 0.1033460860958619 51.54554053282724, 0.1034566370551512 51.545860752188894, 0.1040354684793621 51.5458510639966, 0.1040703835198613 51.54635148743059, 0.103286267652657 51.54817971226335, 0.1048007654771797 51.54863677237962, 0.1053292296556625 51.54873379953198, 0.1050814168526129 51.549058146146386, 0.1055522478187298 51.54927791452247, 0.1046961551266564 51.549994990987386, 0.1061815246254499 51.550957112899496, 0.1069151317968132 51.54954725609319, 0.1087940881356746 51.5475308507196, 0.1096261249013184 51.545853397577, 0.1096267730054972 51.545160906707466, 0.1089560562736039 51.54479147574608, 0.1072061338891518 51.54447095555022))",2.03E-05,62,1707,4,25.763,0.147,0.097,18.294,0.054,-0.273,50.656,17.916
