summary,m_price,minimum_ni,m_monrevie,m_hostlist,m_avaliabl,density,london_imd_rank,london_imd_decile,imd,income,employment,edu_ski_tra,health_depri,crime,hous_serv,living_env
7,139.4285714,15.42857143,0.305714286,13.42857143,0.035225049,0.000122158,2562,6,19.402,0.086,0.086,5.804,-0.102,-1.032,40.103,40.535
5,44.2,3,0.465,1.2,0.451506849,3.47E-05,2485,6,19.837,0.117,0.059,14.798,-0.359,-0.147,45.171,26.888
31,73.38709677,11.22580645,0.844285714,1.612903226,0.35987627,8.89E-05,868,2,32.437,0.169,0.073,11.762,-0.002,1.214,50.58,47.932
2,47.5,1,0.885,1,0.284931507,7.90E-06,2123,5,22.503,0.113,0.075,17.349,-0.28,0.35,47.51,21.974
5,81.2,1.4,0.6175,1.2,0.344109589,5.93E-06,2105,5,22.672,0.126,0.075,12.953,0.046,0.919,34.14,27.703
2,36,3,2.17,1,0.445205479,5.27E-06,1165,3,29.958,0.146,0.106,23.035,0.095,0.913,39.922,38.369
6,61.66666667,1.666666667,1.6525,1.166666667,0.484931507,1.40E-05,2584,6,19.27,0.112,0.073,15.969,-0.185,0.386,31.724,27.612
1,40,2,0.03,1,0.490410959,6.56E-07,2151,5,22.288,0.127,0.074,19.753,0.173,0.092,42.779,17.527
3,73,3.333333333,0.62,2.333333333,0.612785388,1.72E-05,1362,3,28.389,0.133,0.079,22.263,-0.41,1.077,42.638,44.13
5,34,5.6,1.09,1.4,0.116164384,2.03E-05,1707,4,25.763,0.147,0.097,18.294,0.054,-0.273,50.656,17.916
1,31,7,0.06,1,0,5.20E-06,2346,5,20.973,0.132,0.066,15.99,-0.388,0.381,42.456,21.711
10,36.8,1.8,0.38,2.8,0.163287671,2.93E-05,1735,4,25.603,0.123,0.075,16.187,0.167,0.946,41.502,31.382
5,82,1.6,0.06,2.2,0.698082192,1.26E-05,2337,5,21.038,0.11,0.077,14.434,-0.442,0.84,35.596,27.639
10,66.7,4.5,1.276666667,1.3,0.554520548,3.70E-05,2643,6,18.848,0.13,0.058,14.114,-0.261,-0.155,40.981,22.064
3,34.66666667,1.333333333,0.545,1,0.396347032,1.34E-05,1299,3,28.849,0.147,0.1,20.313,0.264,0.552,44.005,34.525
8,43.375,2,1.265,1.125,0.509246575,1.33E-05,1392,3,28.182,0.167,0.094,10.866,-0.036,0.524,64.961,20.692
3,70.33333333,11,0.59,1.666666667,0.472146119,7.98E-06,1721,4,25.691,0.12,0.084,22.485,-0.199,0.891,39.755,34.149
5,47,5,0.676666667,2.2,0.473972603,2.65E-05,2817,6,17.741,0.112,0.078,12.848,-0.002,-0.312,32.872,20.544
6,86.33333333,3.833333333,0.4275,7.166666667,0.405936073,2.17E-05,1827,4,24.743,0.129,0.065,18.969,-0.324,0.602,43.159,40.766
1,37,1,1.23,3,0.235616438,6.47E-06,1769,4,25.268,0.152,0.081,16.983,-0.122,0.708,42.208,26.945
3,56.66666667,3.333333333,0.835,1.666666667,0.305936073,1.17E-05,2019,5,23.288,0.119,0.074,19.124,-0.117,0.423,40.755,34.274
6,125,6.5,0.46,1,0.232420091,2.31E-05,1973,5,23.589,0.166,0.128,14.674,-0.593,0.491,30.587,20.768
9,54,1.888888889,0.371666667,1.444444444,0.59238965,3.71E-05,1533,4,27.055,0.171,0.103,22.529,-0.346,0.957,34.708,27.146
18,80.38888889,17.27777778,1.719090909,3.944444444,0.509589041,5.39E-05,2351,5,20.904,0.116,0.067,10.9,-0.802,1.133,39.033,20.979
2,52.5,1.5,2.235,2.5,0.554794521,1.25E-05,1834,4,24.669,0.184,0.093,20.26,-0.579,-0.195,42.152,27.225
21,92.04761905,6.523809524,2.013333333,1.619047619,0.470058708,8.11E-05,1434,3,27.86,0.178,0.127,8.449,-0.547,1.066,35.73,31.895
23,78.73913043,2.739130435,0.749090909,44.95652174,0.221441334,0.000159421,2953,7,16.817,0.118,0.078,9.457,-0.914,-0.026,30.188,30.341
33,95.12121212,6.696969697,1.175833333,10.51515152,0.384391864,8.93E-05,1304,3,28.797,0.149,0.083,11.28,-0.736,1.518,35.668,52.22
20,64.95,2.35,1.490714286,6.1,0.481780822,0.000100123,2970,7,16.669,0.126,0.077,8.856,-0.676,-0.373,30.865,28.68
14,73.64285714,2.071428571,0.935384615,19.5,0.246575342,7.29E-05,2733,6,18.338,0.102,0.082,8.328,-0.906,0.717,31.107,29.17
13,65.07692308,6.461538462,0.655,5.307692308,0.502423604,5.66E-05,1458,4,27.671,0.186,0.115,15.794,-0.042,0.009,43.166,29.844
63,89.3968254,8.746031746,0.605,74.74603175,0.4658404,0.000212743,2362,5,20.797,0.135,0.062,12.175,-1.303,-0.128,39.038,47.35
6,105.3333333,7.666666667,1.4,2.166666667,0.189497717,2.22E-05,2508,6,19.721,0.13,0.087,10.783,-0.598,0.561,28.16,31.142
8,58.625,4.625,1.456,2,0.620205479,4.36E-05,2707,6,18.504,0.117,0.098,9.943,-0.479,0.481,24.285,27.187
13,42.46153846,12.23076923,1.328181818,1.769230769,0.349209694,2.36E-05,1760,4,25.331,0.172,0.107,11.909,-0.666,0.841,36.044,28.698
1,45,3,1.29,1,0.098630137,3.00E-06,1892,4,24.261,0.196,0.105,12.3,-0.164,0.288,26.487,33.967
